	URL
230	https://rever.vn/mua/can-o-green-valley-view-noi-khu-yen-tinh-tang-cao-don-gio-thoang-mat
231	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-trung-3-phong-ngu
232	https://rever.vn/mua/ban-can-ho-tang-cao-vinhomes-grand-park-2-phong-ngu-dien-tich-san-69-5m2-thiet-ke-hien-dai
233	https://rever.vn/mua/can-ho-tang-cao-vinhomes-grand-park-view-noi-khu-thoang-mat-3
234	https://rever.vn/mua/can-ho-phu-my-hung-midtown-noi-that-co-ban-view-thanh-pho-3
235	https://rever.vn/mua/can-ho-tang-trung-west-gate-park-view-thoang-mat
236	https://rever.vn/mua/ban-can-ho-noi-that-day-du-saigon-mia-view-thanh-pho-mat-me
237	https://rever.vn/mua/ban-can-ho-lux-garden-2pn-block-b-dien-tich-76m2-day-du-noi-that-view-ho-boi
238	https://rever.vn/mua/can-ho-saigon-south-residence-tang-cao-view-duong-nguyen-huu-tho
239	https://rever.vn/mua/ban-office-tel-tang-trung-tai-lavida-plus-quan-7-dien-tich-37-27m2-ket-cau-1-phong-ngu-thiet-ke-hien-dai-khong-kem-noi-that
240	https://rever.vn/mua/can-ho-vinhomes-central-park-tang-trung-park-5-view-truc-dien-song
241	https://rever.vn/mua/can-ho-citi-esto-tang-thap-view-quan-1-sam-uat
242	https://rever.vn/mua/can-ho-heaven-riverview-noi-that-co-ban-view-thoang-mat
243	https://rever.vn/mua/can-ho-the-sun-avenue-tang-cao-view-thanh-pho-noi-that-day-du
244	https://rever.vn/mua/can-ho-hung-ngan-garden-tang-cao-view-noi-khu-don-gio-mat
245	https://rever.vn/mua/can-ho-river-panorama-ban-cong-huong-nam-noi-that-co-ban
246	https://rever.vn/mua/can-ho-d-vela-tang-trung-view-thanh-pho-don-sang-thoang-mat
247	https://rever.vn/mua/can-ho-cao-cap-chung-cu-west-intela-ban-giao-noi-that-co-ban
248	https://rever.vn/mua/can-ho-west-gate-park-tang-cao-ban-cong-thoang-dang
249	https://rever.vn/mua/can-ho-tang-25-q7-saigon-riverside-ban-cong-huong-dong
250	https://rever.vn/mua/ban-nha-pho-hem-xe-hoi-huong-dong-bac-san-thuong-rong
251	https://rever.vn/mua/ban-can-ho-q7-saigon-riverside-thuoc-tang-cao-thap-mercury-dien-tich-85-52m2
252	https://rever.vn/mua/nha-pho-huong-nam-noi-that-co-ban-gan-cong-vien-hoang-van-thu
253	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-cao-view-song-cung-thanh-pho
254	https://rever.vn/mua/cho-thue-can-ho-the-sun-avenue-2pn-tang-cao-block-3-view-song-thoang-mat
255	https://rever.vn/mua/can-ho-sunview-town-tang-10-day-du-noi-that-tien-nghi-3-phong-ngu
256	https://rever.vn/mua/can-ho-moonlight-residence-view-thanh-pho-sam-uat-nhon-nhip
257	https://rever.vn/mua/can-ho-huong-tay-nam-vinhomes-grand-park-tang-trung-view-noi-khu
258	https://rever.vn/mua/can-ho-vinhomes-central-park-2-phong-ngu-tang-trung-p4-view-cong-vien
259	https://rever.vn/mua/can-ho-tang-cao-chung-cu-city-gate-khong-noi-that-view-thoang-mat
260	https://rever.vn/mua/can-ho-eco-green-saigon-3-phong-ngu-noi-that-co-ban
261	https://rever.vn/mua/nha-pho-tan-binh-ban-giao-noi-that-co-ban-nha-huong-dong-bac
262	https://rever.vn/mua/can-ho-q7-boulevard-ban-cong-thoang-mat-cung-noi-that-co-ban
263	https://rever.vn/mua/can-ho-west-gate-park-2-phong-ngu-ban-giao-noi-that-co-ban
264	https://rever.vn/mua/can-ho-lexington-residence-tang-trung-don-view-noi-khu
265	https://rever.vn/mua/ban-nha-pho-q-binh-thanh-huong-nam-vi-tri-thuan-loi-di-chuyen-den-q1
266	https://rever.vn/mua/can-ho-the-sun-avenue-noi-that-co-ban-huong-noi-khu-mat-me
267	https://rever.vn/mua/can-ho-tang-q7-saigon-riverside-view-thoang-mat-don-sang
